pair_id,process,step
0,Deal with Misophonia - Finding Your Triggers,GOOD
1,Deal with Misophonia - Finding Your Triggers,STEP - 4 provide a missing optional step that could be part of the process but not essential?    STEP -5 NA
2,Deal with Misophonia - Finding Your Triggers,How do you calm down after a trigger?
3,Deal with Misophonia - Finding Your Triggers,"Learn how to manage your reactions/anxiety (e.g., breathing exercises, stepping away for a moment if possible)."
4,Deal with Misophonia - Finding Your Triggers,good
5,Set Up Guitar Pedals - Using an Effects Loop,Tune amp
6,Set Up Guitar Pedals - Using an Effects Loop,NO
7,Set Up Guitar Pedals - Using an Effects Loop,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
8,Set Up Guitar Pedals - Using an Effects Loop,good
9,Set Up Guitar Pedals - Using an Effects Loop,no
10,Use Bing Maps - Viewing Maps,NO
11,Use Bing Maps - Viewing Maps,"This blog postThe most common way is to identify the location using coordinates such as latitude and longitude or by the use of a street address when available. Absolute location can also be the name of the city or region or postal code a point is located in although this is less precise than using coordinates or an address. will assume that you have implemented Bing Maps Keys in your application. If you are using Bing Maps Tokens, these will be ..."
12,Use Bing Maps - Viewing Maps,nOTHING
13,Use Bing Maps - Viewing Maps,no
14,Use Bing Maps - Viewing Maps,You may also search for a particular location.
15,Dye Crocs Shoes - Filling the Bin with Your Paints,NO
16,Dye Crocs Shoes - Filling the Bin with Your Paints,step _4  step _ 5  na
17,Dye Crocs Shoes - Filling the Bin with Your Paints,Fill a sink with warm water and immerse the Crocs. Mix one cup of warm water with several drops of liquid dish washing detergent until suds form. Dip a toothbrush into the solution and brush the paint stains away.
18,Dye Crocs Shoes - Filling the Bin with Your Paints,no
19,Dye Crocs Shoes - Filling the Bin with Your Paints,no
20,Alleviate Headaches During Pregnancy - Recognizing More Serious Problems,step _4 step _5 na
21,Alleviate Headaches During Pregnancy - Recognizing More Serious Problems,NO
22,Alleviate Headaches During Pregnancy - Recognizing More Serious Problems,seek medical advice by calling your public health line
23,Alleviate Headaches During Pregnancy - Recognizing More Serious Problems,Use a blood pressure monitor to track your blood pressure throughout the day.
24,Alleviate Headaches During Pregnancy - Recognizing More Serious Problems,no
25,Check Your SAT Score - Evaluating Other Relevant Information,GOOD
26,Check Your SAT Score - Evaluating Other Relevant Information,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
27,Check Your SAT Score - Evaluating Other Relevant Information,Answer the questions
28,Check Your SAT Score - Evaluating Other Relevant Information,"Find out how SAT scores are calculated and learn how ranges, mean scores, ... that although SAT scores are important, colleges consider a lot of other ..."
29,Check Your SAT Score - Evaluating Other Relevant Information,good
30,Post Process Smoke Images - Mirroring Your Smoke,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
31,Post Process Smoke Images - Mirroring Your Smoke,NO
32,Post Process Smoke Images - Mirroring Your Smoke,"You really will photograph smoke and later, mirror your image to add even more ... and after the session, it was easy to open the door and clear the smoke."
33,Post Process Smoke Images - Mirroring Your Smoke,Adjust brightness and contrast
34,Post Process Smoke Images - Mirroring Your Smoke,good
35,Bypass Your School's Filter on Any iOS Device (Hack Free) - Using a Web Proxy,step - 4
36,Bypass Your School's Filter on Any iOS Device (Hack Free) - Using a Web Proxy,no
37,Bypass Your School's Filter on Any iOS Device (Hack Free) - Using a Web Proxy,follow the prompts to connect to proxy
38,Bypass Your School's Filter on Any iOS Device (Hack Free) - Using a Web Proxy,no
39,Bypass Your School's Filter on Any iOS Device (Hack Free) - Using a Web Proxy,good
40,Cut Parsnips - Cutting Disks on the Bias,GOOD
41,Cut Parsnips - Cutting Disks on the Bias,Choose a sharp and specific knife for the cut.
42,Cut Parsnips - Cutting Disks on the Bias,Step _4 provide a missing optional step that could be part of the process but not essential?   STEP _5 NA
43,Cut Parsnips - Cutting Disks on the Bias,no
44,Cut Parsnips - Cutting Disks on the Bias,GOOD
45,Test Biodegradability of Plastic - Examining the Plastic,NO
46,Test Biodegradability of Plastic - Examining the Plastic,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
47,Test Biodegradability of Plastic - Examining the Plastic,Biodegradable plastics that are made of cornstarch or plant pulp can ... Make sure the plastic you want to test says “biodegradable” or “compostable” on it.
48,Test Biodegradability of Plastic - Examining the Plastic,GOOD
49,Test Biodegradability of Plastic - Examining the Plastic,no
50,Clean Behind Your Ears - Cleaning With a Cotton Swab,Repeat on other ear.
51,Clean Behind Your Ears - Cleaning With a Cotton Swab,Wash ears with soap and water before using cotton swabs.
52,Clean Behind Your Ears - Cleaning With a Cotton Swab,NO
53,Clean Behind Your Ears - Cleaning With a Cotton Swab,step _ 4 step _5 na
54,Clean Behind Your Ears - Cleaning With a Cotton Swab,"Use an eyedropper to apply a few drops of baby oil, mineral oil, glycerin or hydrogen peroxide in your ear canal. Use warm water. After a day or two, when the wax is softened, use a rubber-bulb syringe to gently squirt warm water into your ear canal."
55,Stain Wood Filler - Applying the Stain,GOOD
56,Stain Wood Filler - Applying the Stain,Second coat of paint helps to remove the stain.
57,Stain Wood Filler - Applying the Stain,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP-5 NA
58,Stain Wood Filler - Applying the Stain,no
59,Stain Wood Filler - Applying the Stain,good
60,Get an Article Approved in wikiHow's Quality Review,NO
61,Get an Article Approved in wikiHow's Quality Review,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
62,Get an Article Approved in wikiHow's Quality Review,Review for final edits
63,Get an Article Approved in wikiHow's Quality Review,"Make sure clear, relevant images accompany your article."
64,Get an Article Approved in wikiHow's Quality Review,no
65,Drink Bombay Sapphire - Making a Gin and Tonic,NO
66,Drink Bombay Sapphire - Making a Gin and Tonic,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
67,Drink Bombay Sapphire - Making a Gin and Tonic,Fill your balloon glass to rim with large cubed ice.
68,Drink Bombay Sapphire - Making a Gin and Tonic,1 Lemon peel and lemon wedge
69,Drink Bombay Sapphire - Making a Gin and Tonic,no
70,Make Pomegranate Seltzer - Preparing a Cranberry Pomegranate Seltzer,GOOD
71,Make Pomegranate Seltzer - Preparing a Cranberry Pomegranate Seltzer,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
72,Make Pomegranate Seltzer - Preparing a Cranberry Pomegranate Seltzer,"Recipes are great, but you'll need a simple 3 step process to create a meal plan that make cooking easy & helps you stop wasting food. Check out ..."
73,Make Pomegranate Seltzer - Preparing a Cranberry Pomegranate Seltzer,can add some honey for better taste and diet
74,Make Pomegranate Seltzer - Preparing a Cranberry Pomegranate Seltzer,no
75,Control Notifications on Periscope - Configuring Periscope’s Notifications Settings on iOS,Scroll through the alphabetical list until you find Periscope and open that tab.
76,Control Notifications on Periscope - Configuring Periscope’s Notifications Settings on iOS,NO
77,Control Notifications on Periscope - Configuring Periscope’s Notifications Settings on iOS,step - 4
78,Control Notifications on Periscope - Configuring Periscope’s Notifications Settings on iOS,NO
79,Control Notifications on Periscope - Configuring Periscope’s Notifications Settings on iOS,"Select how you would like your notifications to be displayed (e.g., banner)."
80,Do the 'Pass It On' Trick in Class - Flash mobs,GOOD
81,Do the 'Pass It On' Trick in Class - Flash mobs,STEP 4 provide a missing optional step that could be part of the process but not essential?    STEP 5 NA
82,Do the 'Pass It On' Trick in Class - Flash mobs,no
83,Do the 'Pass It On' Trick in Class - Flash mobs,no
84,Do the 'Pass It On' Trick in Class - Flash mobs,good
85,Download Kindle Books on an iPad - Adding Non-Kindle Content to Your Kindle App,GOOD
86,Download Kindle Books on an iPad - Adding Non-Kindle Content to Your Kindle App,NO
87,Download Kindle Books on an iPad - Adding Non-Kindle Content to Your Kindle App,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
88,Download Kindle Books on an iPad - Adding Non-Kindle Content to Your Kindle App,Open Kindle Cloud Reader in a Safari browser and log in with your Amazon credentials.
89,Download Kindle Books on an iPad - Adding Non-Kindle Content to Your Kindle App,good
90,Measure an Angle Using a Protractor - Calculating Reflex Angles,NO
91,Measure an Angle Using a Protractor - Calculating Reflex Angles,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
92,Measure an Angle Using a Protractor - Calculating Reflex Angles,No missing step
93,Measure an Angle Using a Protractor - Calculating Reflex Angles,Place the midpoint of the protractor on the VERTEX of the angle.
94,Measure an Angle Using a Protractor - Calculating Reflex Angles,good
95,Blow Dry Layered Hair - Blow Drying Short Layers,NO
96,Blow Dry Layered Hair - Blow Drying Short Layers,STEP -4 provide a missing optional step that could be part of the process but not essential?   STEP -5 NA
97,Blow Dry Layered Hair - Blow Drying Short Layers,Pat your hair dry with a towel if necessary
98,Blow Dry Layered Hair - Blow Drying Short Layers,Blow dry from roots to tips
99,Blow Dry Layered Hair - Blow Drying Short Layers,good
100,Report Visa Violations - Reporting a Visa Holder,NO
101,Report Visa Violations - Reporting a Visa Holder,STEP -4 provide a missing optional step that could be part of the process but not essential?    STEP -5 NA
102,Report Visa Violations - Reporting a Visa Holder,Call the number of the hotline or local ICE office
103,Report Visa Violations - Reporting a Visa Holder,"To report a person you think may be in the U.S. illegally, use the Homeland Security Investigations online tip form or call 1-866-347-2423"
104,Report Visa Violations - Reporting a Visa Holder,good
105,Use Kaffir Lime Leaves - Using Dried or Powdered Leaves,NO
106,Use Kaffir Lime Leaves - Using Dried or Powdered Leaves,step - 4
107,Use Kaffir Lime Leaves - Using Dried or Powdered Leaves,Get out kaffir lime leaves
108,Use Kaffir Lime Leaves - Using Dried or Powdered Leaves,bitter
109,Use Kaffir Lime Leaves - Using Dried or Powdered Leaves,good
