process_id,process_name,step_1,step_2,step_3,step_4,step_5
5_0,Get Married in Oregon - Planning a Wedding Ceremony,Decide on the type of ceremony, Choose a season, Hire wedding vendors, Confirm the date with vendors and officiants, Make final payments
5_1,Train Puggles - House-Training Your Puggle,Begin training your puggle right away, Put your puggle on a training schedule, Clean up any accidents right away, Prepare a crate for your puggle, Teach your dog to use the crate
5_2,Start a Yeast Free Diet - Trying a Four to Six Week Diet,Familiarize yourself with the foods that are off-limits, Familiarize yourself with the foods that you can eat, Familiarize yourself with treats, Continue this diet for four to six weeks, Slowly add foods back into your diet over a period of a few weeks
5_3,Support the ACLU - Taking Action Online,Go to the ACLU website," Click on the ""Take Action"" tab", Sign a petition, Send a letter to members of Congress, Send a message to private businesses
5_4,Boil Cabbage - Boiling the Cabbage,Bring water to a gentle boil over medium-high heat, Add the cabbage to the boiling water, Cook uncovered at a simmer or gentle boil, Remove the cabbage from the pot, Season the cabbage
5_5,Teach a Child to Use the Telephone,"Let your child hold the phone without pushing any buttons, while you point to the buttons and explain which button does what, and tell him/her which buttons s/he should NEVER touch"," Let your child answer the phone, with a 'script' that you write out for him/her"," When your child is comfortable with this, and has whatever you want him/her to say memorized, let your child begin to answer the phone by him/herself", Let your child begin to call his/her friends/relatives," After your child is comfortable with this, and you are comfortable with letting him/her do this, you may let him/her answer/make calls whenever!"
5_6,Find Fulfilling Work - Finding a Possible Career Path,Ask yourself about the legacy you want to leave, Make a list of options, Narrow down the list, Identify barriers preventing you from being who you want to be, Accept the confusion
5_7,Issue a Refund - Using Google Payments Merchant Center,Sign in to your Google Payments Merchant Center account, Click on the order for which you want to issue a refund, Click on “Refund order” in the right sidebar," Select the reason for the refund from the dropdown menu, then click “Refund order",” Google will immediately process the refund
5_8,Collect Rainwater for Drinking - Filtering the Rainwater,Use the rain barrel’s faucet to drain the water into a container, Run the water through an activated carbon filter to remove particulate, Boil the water for 1 minute to kill any germs or bacteria in the water, Disinfect the water with chlorine bleach if you’re unable to boil it, Test the rainwater every 1–2 months for pollutants and bacteria
5_9,Clean Under Laptop Keyboard Keys - Putty,Buy special cleaning putty, Place putty on the keyboard, The putty will form its shape over the keys and seep through the cracks," Pull the putty carefully off the keyboard, so as to not break off the keys", Repeat all over the keyboard for a thorough clean
5_10,Have Jehovah's Witnesses Go Away - Interacting with a Jehovah's Witness,Answer the door, Interrupt them, Be honest, Politely decline, Close the door
